id,content,type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation,category,chapter,image
26,铸造的突出优点之一是能够制造:,single,形状复杂的毛坯,形状简单的毛坯,大件毛坯,小件毛坯,,,A,,,铸造,
27,造型时，铸型的型腔用什么复制出来?,single,零件,模样,芯盒,铸件,,,B,,,铸造,
28,造型所用模样，在单件小批生产条件下，常用什么材料制造?,single,铝合金,木材,铸铁,橡胶,,,B,,,铸造,
29,铸件上的重要工作面或重要加工面，在浇注时应处在什么位置?,single,向下或位于侧向,侧向,向上,随便,,,A,,,铸造,
30,铸件壁太薄，浇注时铁水温度又低，铸造后容易产生什么缺陷?,single,气孔,缩孔,裂纹,浇不到,,,D,,,铸造,
31,需铸车床上的手轮两个，应选用什么手工造型方法?,single,整体模造型,分开模造型,挖砂造型,三箱造型,,,C,,,铸造,
32,型砂耐火性不好，容易产生:,single,夹砂,砂眼,粘砂,,,,C,,,铸造,
33,手轮铸件挖砂造型时，分型面经过修整后，成什么形状?,single,平面,平面+圆柱面,平面+曲面,,,,C,,,铸造,
34,造型时为了保证铸件形状正确，应尽量使铸件全部或大部放在几个砂箱中?,single,两个砂箱中,一个砂箱中,三个砂箱中,多个砂箱中,,,B,,,铸造,
35,中小型灰铸铁件收缩率为:,single,1%,2%,3%,,,,A,,,铸造,
36,一铸造轴套，外圆直径为φ100mm，长度为50mm，孔的直径为65mm，应选哪种手工造型方法?,single,整体模造型,分开模造型,挖砂造型,刮板造型,,,B,,,铸造,
37,浇注系统的顺序是:,single,直浇道—横浇道—内浇道,直浇道—内浇道—横浇道,外浇道—内浇道—横浇道,横浇道—直浇道—内浇道,,,A,,,铸造,
38,型腔内有散砂、合型时，砂型局部挤坏、浇口开得不好，冲坏砂型或砂芯；浇注后，铸件上易有什么缺陷?,single,砂眼,夹杂物,渣气孔,夹砂,,,A,,,铸造,
39,手工造型时，春砂太松，铁水浇注温度过高，型砂耐火性差，易在铸件上产生什么缺陷?,single,砂眼,夹砂,冷隔,粘砂,,,D,,,铸造,
40,浇注时铁水温度过低，铁水断流或速度太小，易在铸件上产生何种缺陷?,single,气孔,冷隔,粘砂,缩孔,,,B,,,铸造,
41,"合型时,砂芯放置的位置不正确或砂芯没有固紧，铸件上容易产生什么缺陷?",single,偏芯,错箱,气孔,,,,A,,,铸造,
42,浇口不正确，挡渣作用差，浇注时渣子没挡住，铸件上容易产生什么缺陷?,single,砂眼,渣眼,气孔,夹砂,,,B,,,铸造,
43,一铸铁轴套外圆直径为φ120mm，孔的直径为70mm，长度为500mm，应选用哪种手工造型方法?,single,整体模造型,分开模造型,挖砂造型,假箱造型,,,B,,,铸造,
44,套筒零件如图1所示，φ50内表面质量要求较高，单件小批生产，应选用哪种手工造型方法?,single,分开模造型,整体模造型,挖砂造型,刮板造型,,,B,,,铸造,fig_01
45,手柄零件如图2所示，单件生产，应选用哪种手工造型方法?,single,分开模造型,整体模造型,挖砂造型,三箱造型,,,B,,,铸造,fig_02
46,卡盘体铸件如图3所示，底面B质量要求较高，单件生产，应选用哪种手工造型方法?,single,整体模造型,分开模造型,挖砂造型,三箱造型,,,C,,,铸造,fig_03
47,卡盘体铸件如图3所示，底面B质量要求较高，大批生产，应选用哪种造型方法?,single,手工整体模造型,手工分开模造型,机器造型(整体模),机器造型(分开模),,,D,,,铸造,fig_03
48,弯板零件如图4所示，单件小批生产，应选用哪种手工造型方法?,single,整体模造型,分开模造型,挖砂造型,刮板造型,,,C,,,铸造,fig_04
49,两通接盘零件如图5所示，单件小批生产，应选用哪种手工造型方法?,single,整体模造型,分开模造型,挖砂造型,活块造型,,,D,,,铸造,fig_05
50,对于高熔点、形状复杂，又难以切削的铸件应采用____方法。,single,熔模铸造,金属型铸造,砂型铸造,压力铸造,,,A,,,铸造,
51,下列铸造方法中，____省去了下砂箱。,single,假箱铸造,三箱铸造,离心铸造,地坑铸造,,,D,,,铸造,
52,制造模样时，模样的尺寸应比零件大一个,single,铸件材料的收缩量,铸件材料的收缩量+机械加工余量,机械加工余量,铸件材料的收缩量+模样材料的收缩量,,,B,,,铸造,
53,金属型铸造的特点是____。,single,无分型面,需起模,一型多铸,,,,C,,,铸造,
54,熔模铸造的制模材料可以是____。,single,木料,蜡料,金属,,,,B,,,铸造,
55,下列铸造方法中，____的铸型没有分型面。,single,熔模铸造,金属型铸造,砂型铸造,压力铸造,,,A,,,铸造,
56,下列铸造方法中，____又叫永久型铸造。,single,压力铸造,离心铸造,熔模铸造,金属型铸造,,,D,,,铸造,
57,以下铸造方法中，____可以不用型芯生产圆筒类零件。,single,压力铸造,离心铸造,熔模铸造,金属型铸造,,,B,,,铸造,
58,冒口的主要作用是?,multi,排气,补缩,冷却,集渣,,,ABD,,,铸造,
59,浇注温度过高，容易引起下列哪些铸造缺陷?,multi,冷隔,缩孔,砂眼,粘砂,,,BD,,,铸造,
60,以下几种铸造方法中，____属于特种铸造范畴。,multi,压力铸造,离心铸造,熔模铸造,机器造型铸造,,,ABC,,,铸造,
61,压力铸造适合于铸造____零件。,multi,低熔点的,薄壁的,大型的,高熔点的,,,AB,,,铸造,
62,熔模铸造的工艺特点是____。,multi,无需起模,一模多用,一型多铸,无分型面,,,AD,,,铸造,
63,金属型铸造的特点是____。,multi,无分型面,无需起模,一型多铸,无需造型,,,CD,,,铸造,
64,离心铸造主要用于生产____铸件。,multi,管类,轴类,盘类,套筒类,,,AD,,,铸造,
65,砂型铸造中手工造型常用的方法有____。,multi,整模造型,机器造型,挖砂造型,压力铸造,,,AC,,,铸造,
66,空气锤的吨位用锤头的质量表示。,judge,正确,错误,,,,,错,,,锻压,
67,自由锻只适用于单件生产。,judge,正确,错误,,,,,错,,,锻压,
68,坯料加热温度越高越便于锻造。,judge,正确,错误,,,,,错,,,锻压,
69,"一般情况下,锻造冲孔前应先将坯料镦粗,以减小冲孔深度。",judge,正确,错误,,,,,对,,,锻压,
70,弯曲是自由锻的基本工序之一。,judge,正确,错误,,,,,对,,,锻压,
71,过热的钢料是无可挽回的废品，锻打时必然开裂。,judge,正确,错误,,,,,错,,,锻压,
72,锻造温度范围是开始锻造的温度到终止锻造的温度区间。,judge,正确,错误,,,,,错,,,锻压,
73,自由锻能锻制各种复杂形状的锻件。,judge,正确,错误,,,,,错,,,锻压,
74,冲压分为热冲压和冷冲压。,judge,正确,错误,,,,,对,,,锻压,
75,冲压的工序分为分离工序和成形工序两大类。,judge,正确,错误,,,,,对,,,锻压,
76,胎模锻在____上进行。,single,自由锻锤,模锻锤,自由锻锤或模锻锤,,,,A,,,锻压,
77,坯料加热到过烧状态时，____。,single,应将坯料适当降温后再锻打,可以锻打，但锻件内部质量较差,坯料报废,,,,C,,,锻压,
78,胎膜锻适用于:____。,single,小型锻件的大批量生产,小型锻件的中、小批量生产,小型锻件的单件生产,中型锻件的批量生产,,,B,,,锻压,
79,模锻适用于____生产。,single,单件,大批量,小批量,,,,B,,,锻压,
80,在锻压车间制造如图6所示齿轮毛坯1000件，材料为45钢，合理的成形方法是____。,single,冲压成形,自由锻,模锻,胎模锻,,,C,,,锻压,fig_06
81,在锻压车间制造如图7所示台阶轴毛坯5件，材料45钢，合理的成形方法是____。,single,自由锻,胎模锻,模锻,冲压成形,,,A,,,锻压,fig_07
82,承受重载或冲击载荷的重要零件的毛坯，多采用____。,single,锻件,焊接件,铸件,冲压,,,A,,,锻压,
83,大批量生产40CrMnTi的齿轮，请选择合适的毛坯成形方法____。,single,自由锻,模锻,冲压,铸造,,,B,,,锻压,
84,锻造工人把精锻完的齿轮放在铁桶内沙子里，而不是放在车间地面上，这是因为:,single,方便运输,减缓齿轮冷却速度,使车间内整洁,,,,B,,,锻压,
85,将一圆钢坯料锻成带孔圆盘状锻件，合理的变形工序应是:,single,拔长—镦粗—冲孔,镦粗—冲孔,冲孔—镦粗,先镦粗或冲孔均可,,,B,,,锻压,
86,冲压加工的基本设备是____。,single,空气锤,水压机,冲床,铣床,,,C,,,锻压,
87,自由锻适用于____生产。,single,形状复杂锻件,形状简单锻件,异形锻件,,,,B,,,锻压,
88,"利用冲模使金属板料产生变形和分离,获得毛坯或零件的加工方法叫____。",single,铸造,冲压,锻造,气割,,,B,,,锻压,
89,下列工序中哪些是自由锻的基本工序?,multi,弯曲,拉深,拔长,落料,,,AC,,,锻压,
90,用φ80×167(mm)的圆钢作坯料，制造如图所示8锻件5件，需要经历的自由锻基本工序是:,multi,局部拔长,压肩,修整,局部镦粗,,,AD,,,锻压,
91,用φ60×125(mm)的圆钢作坯料，制造如图9所示锻件3件，需要经历的自由锻基本工序是:,multi,局部镦粗,冲孔,滚圆,局部拔长,,,AD,,,锻压,fig_09
92,锻造加热温度太高，或长时间在高温下停留会产生:,multi,过热,过烧,裂纹,氧化,,,AB,,,锻压,
93,下列可用于锻压的材料有____。,multi,有色金属,铸铁,低碳钢,,,,AC,,,锻压,
94,锻造时，金属加热的目的是____。,multi,降低变形能力,降低坯料变形抗力,提高坯料的塑性,,,,BC,,,锻压,
95,冲压基本工序有____。,multi,拔长,弯曲,冲裁,镦粗,,,BC,,,锻压,
96,坡口的主要作用是为了保证焊透。,judge,正确,错误,,,,,对,,,焊接,
97,"焊条直径增大时,相应的焊接电流也增大。",judge,正确,错误,,,,,对,,,焊接,
98,"焊接不锈钢容器,不能采用二氧化碳气体保护焊。",judge,正确,错误,,,,,对,,,焊接,
99,埋弧自动焊只适用于平焊和立焊位置。,judge,正确,错误,,,,,错,,,焊接,
100,点焊可焊接有密封要求的薄板结构。,judge,正确,错误,,,,,错,,,焊接,
101,压力焊只需加压，不能加热。,judge,正确,错误,,,,,错,,,焊接,
102,直流电弧焊机工作时工件接正极称反接。,judge,正确,错误,,,,,错,,,焊接,
103,直流电弧阳极区温度比阴极区低。,judge,正确,错误,,,,,错,,,焊接,
104,点焊焊接工件时必须添加填充材料。,judge,正确,错误,,,,,错,,,焊接,
105,点焊焊件只在有限的接触面上实现连接，因此适用于焊接密封件。,judge,正确,错误,,,,,错,,,焊接,
106,点焊属于熔化焊。,judge,正确,错误,,,,,错,,,焊接,
107,钎焊可以实现异种材料焊接。,judge,正确,错误,,,,,对,,,焊接,
108,用低碳钢制造圆筒形焊件3件，直径Φ200mm，长度2000mm，板厚6mm，在下列焊接方法中应选用____。,single,手弧焊,埋弧焊,气焊,缝焊,,,A,,,焊接,
109,金属钎焊时:,single,"焊件不熔化,钎料熔化","焊件熔化,钎料不熔化",焊件和钎料都要局部熔化,"焊件局部熔化,钎料全部熔化",,,A,,,焊接,
110,用低碳钢焊接圆筒形焊件，直径φ300mm，长度1500mm，板厚1mm在下列焊接方法中应选用____。,single,手弧焊,埋弧焊,二氧化碳气体保护焊,氩弧焊,,,C,,,焊接,
111,"有一批重要的铝合金密封容器需要焊接,试选用焊接方法____。",single,埋弧焊,二氧化碳气体保护焊,氩弧焊,点焊,,,C,,,焊接,
112,"车刀的硬质合金刀头与中碳钢刀体焊接,应采用什么焊接方法?",single,气焊,氩弧焊,钎焊,对焊,,,C,,,焊接,
113,钎焊时使用的填充金属称为____。,single,焊条,焊丝,钎料,钎剂,,,C,,,焊接,
114,焊接工字梁如图10所示，长6m，板厚8mm，生产100件，在下列焊接方法中焊接焊缝A适宜的是哪一种?,single,手弧焊,埋弧焊,气焊,氩弧焊,,,B,,,焊接,fig_10
115,焊接工字梁如图10所示，长6m，板厚8mm，生产100件，在下列焊接方法中焊接焊缝B适宜的是哪一种?,single,手弧焊,埋弧焊,气焊,氩弧焊,,,B,,,焊接,fig_10
116,电焊条规格的表示方法是____。,single,焊条长度,焊条直径,焊条药皮的颜色,,,,B,,,焊接,
117,焊接厚钢板所用的焊条直径要比焊接薄钢板用的焊条直径:,single,大,小,一样大,,,,A,,,焊接,
118,用钢板拼焊如图11所示工件，其中A与C件之间的接头型式是____。,single,对接,搭接,T形接,角接,,,B,,,焊接,fig_11
119,下列哪种焊接可实现不同金属的连接?,single,氩弧焊,气焊,手工电弧焊,钎焊,,,D,,,焊接,
120,用碱性焊条焊接工件时，只能用____。,single,交流弧焊机，采用反接方式,交流弧焊机，采用正接方式,直流弧焊机，采用正接方式,直流弧焊机，采用反接方式,,,D,,,焊接,
121,"用碱性焊条焊接工件时,应采用下列哪种接线方式:",single,直流正接,直流反接,交流正接,交流反接,,,B,,,焊接,
122,手工电弧焊焊接薄钢板时，为了防止焊穿，应选用____。,single,交流反接,交流正接方式,直流正接,直流反接,,,D,,,焊接,
123,氩弧焊最适宜焊接____。,single,铸铁,低碳钢,不锈钢,合金工具钢,,,C,,,焊接,
124,"按焊接过程的特点不同,焊接方法可分为哪几类?",multi,气焊,压焊,熔焊,钎焊,,,BCD,,,焊接,
125,"用低碳钢角钢制作房架200件,在下列焊接方法中可采用____。",multi,手弧焊,埋弧焊,气焊,二氧化碳气体保护焊,,,AD,,,焊接,
126,"用厚度10mm的低碳钢板制作直径φ1000mm、长度3000mm的圆筒200件,在下列焊接方法中可采用____。",multi,氩弧焊,埋弧焊,气焊,二氧化碳气体保护焊,,,BD,,,焊接,
127,"用厚度3mm的不锈钢板制作清洗槽100件,在下列焊接方法中可采用____。",multi,手弧焊,点焊,二氧化碳气体保护焊,氩弧焊,,,AD,,,焊接,
128,焊条按熔渣化学性质的不同分为____。,multi,酸性焊条,阳性焊条,阴性焊条,碱性焊条,,,AD,,,焊接,
129,下列哪些焊接，在焊接过程中不允许加压。,multi,手工电弧焊,压焊,熔焊,钎焊,,,ACD,,,焊接,
130,下列哪些焊接，在焊接过程中需用填充材料。,multi,手工电弧焊,点焊,缝焊,埋弧焊,,,AD,,,焊接,
131,车削左旋螺纹时，车床主轴应反转，车刀应由右向左移动。,judge,正确,错误,,,,,错,,,车工,
132,加工时车床A主轴转速为600r/min，车床B主轴转速为400r/min，车床A的切速一定大于B。,judge,正确,错误,,,,,错,,,车工,
133,45度弯头刀既能车外圆，又能车端面。,judge,正确,错误,,,,,对,,,车工,
134,偏移尾架法既可车外锥面，也可车内锥面。,judge,正确,错误,,,,,错,,,车工,
135,三爪卡盘装夹工件时，其自动对中的精度约为0.05—0.15mm。,judge,正确,错误,,,,,对,,,车工,
136,四爪卡盘装夹工件时，四个卡爪是同时自动对中的。,judge,正确,错误,,,,,错,,,车工,
137,精车时进行'试切'，其目的是为了保证加工面的形状精度。,judge,正确,错误,,,,,错,,,车工,
138,在同样的切削条件下，进给量f越小，则粗糙度Ra值越大。,judge,正确,错误,,,,,错,,,车工,
139,在车床上镗孔只能镗通孔，而不能镗台阶孔或盲孔(不通孔)。,judge,正确,错误,,,,,错,,,车工,
140,车削所能达到的粗糙度Ra值一般为12.5—1.6μm。,judge,正确,错误,,,,,对,,,车工,
141,用双顶尖安装轴类零件，车削时是靠顶尖与顶尖孔的摩擦力带动工件旋转的。,judge,正确,错误,,,,,错,,,车工,
142,进给量既为车刀移动的速度。,judge,正确,错误,,,,,错,,,车工,
143,跟刀架，应安装在大滑板上。,judge,正确,错误,,,,,错,,,车工,
144,在车床上加工孔的刀具都应安装在尾座套筒上。,judge,正确,错误,,,,,错,,,车工,
145,车刀移动速度的快慢不完全取决于进给量。,judge,正确,错误,,,,,对,,,车工,
146,千分尺的读数精度是1/1000（0.001）。,judge,正确,错误,,,,,错,,,车工,
147,刀具是由三面二刃一尖组成。,judge,正确,错误,,,,,对,,,车工,
148,中心钻用于钻中心孔，不能加工锥面。,judge,正确,错误,,,,,错,,,车工,
149,车削图15所示的左旋螺纹时，'对开螺母'不必闭合。,judge,正确,错误,,,,,错,,,车工,fig_15
150,图15中螺纹左右的倒角应在螺纹车削之后加工。,judge,正确,错误,,,,,错,,,车工,fig_15
151,如图12所示，毛坯为方钢，车削标注粗糙度符号的表面时，工件装夹应用哪一种附件?,single,花盘,花盘及弯板,三爪卡盘,四爪卡盘,,,D,,,车工,fig_12
152,如图12所示，毛坯为方钢，两件，φ40H7孔的加工方法应选用下列哪一种?,single,钻孔,镗孔,钻孔—镗孔,钻—扩—铰孔,,,C,,,车工,fig_12
153,如图12所示，方钢毛坯用四爪卡盘装夹时，应用什么方法找正?,single,目测找正,用划针盘找正,用百分表找正,,,,B,,,车工,fig_12
154,如图12所示，在车床上对φ40H7进行钻孔时，钻头装在车床的什么部件上?,single,中滑板上,方刀架上,尾架上,主轴上,,,C,,,车工,fig_12
155,车刀的斜向移动是由____带动的。,single,大拖板,中拖板,小拖板,尾架,,,C,,,车工,
156,成批生产如图13所示，工件材料为HT200，应选用哪一种毛坯?,single,锻件,铸件,焊接件,板材下料,,,B,,,车工,fig_13
157,如图13所示，在车床上加工φ30H7孔，应选用哪一种附件装夹工件?,single,四爪卡盘,三爪卡盘,花盘,花盘及弯板,,,D,,,车工,fig_13
158,如图13所示，工件数量为12件，在车床上加工φ30H7孔，应用下列哪一种加工方法?,single,钻孔,镗孔,钻孔—镗孔,钻—扩—铰孔,,,C,,,车工,fig_13
159,如图14所示，图中的'A'是什么符号?,single,基准符号,加工顺序号,定位面符号,精加工符号,,,A,,,车工,fig_14
160,如图14所示，工件数量为2件，毛坯为铸件，无孔，加工φ45H7孔应选用下列哪一种加工方法?,single,钻孔,镗孔,镗孔—磨孔,钻孔—镗孔,,,D,,,车工,fig_14
161,如图14所示，大外圆的粗糙度Ra为1.6μm应选用下列哪一种加工方法?,single,粗车,粗车—精车,车削—磨削,直接磨削,,,B,,,车工,fig_14
162,图15中螺纹与圆柱体之间的回转槽，是螺纹退刀槽还是进刀槽?,single,是螺纹退刀槽,是螺纹进刀槽,此槽与螺纹加工无关,,,,A,,,车工,fig_15
163,车削螺纹时，在什么情况下螺纹末端必须有退刀槽?,single,内外圆上只有一段螺纹时,螺纹末端有台阶时,螺距较大时,,,,B,,,车工,
164,图17中表示的加工方法，在精加工时其粗糙度Ra值可达什么范围?,single,6.3～1.6μm,50～12.5μm,0.8～0.2μm,0.1～0.05μm,,,C,,,车工,fig_17
165,图18中所示的是什么刀具?,single,切断刀,外圆车刀,锯片铣刀,切槽刀,,,D,,,车工,fig_18
166,车削公制三角螺纹，车刀的刀尖角应是多少度?,single,30度,40度,55度,60度,,,D,,,车工,
167,如图18所示，根据习惯画法和加工内容，判断刀具的切削部分是什么材料?,single,高速钢,油石条,碳素工具钢,硬质合金,,,D,,,车工,fig_18
168,图18中的d是什么零件或附件?,single,卡箍,拨盘,车床主轴,花盘,,,B,,,车工,fig_18
169,图18中的e是什么附件?,single,限位块,防护罩,弯板,卡箍,,,D,,,车工,fig_18
170,图19中的齿轮材料为45钢，数量为4件，一般应选用什么类型的毛坯?,single,铸件,锻件,圆钢下料,钢板切割,,,C,,,车工,fig_19
171,车削图19所示齿轮坯，保证(a)，(b)两项技术要求，应采用什么方法?,single,右端面，外圆和孔在一次装夹中进行精加工。,先精加工孔和右端面，工件切断后上心轴，再精车外圆。,先精加工孔，工件切断后上心轴，再精车右端面和外圆。,,,,B,,,车工,fig_19
172,如图19所示，工件为6件，毛坯为45号圆钢，φ25H7应选用下列什么加方法?,single,钻孔,钻孔—镗孔,钻孔—磨孔,镗孔—磨孔,,,B,,,车工,fig_19
173,如图19所示:工件为6件，毛坯为45号圆钢，如果孔的Ra值改为0.4μm，孔应选用下列哪种加工方法进行加工?,single,钻孔,镗孔,钻孔—镗孔,钻—镗—磨孔,,,D,,,车工,fig_19
174,在一次装夹中精车盘套类零件的外圆、端面和孔，主要目的是为保证____。,single,三个表面的粗糙度要求,三面有均匀的加工余量,三面的位置精度,有最高的生产率,,,C,,,车工,
175,加工2件曲线回转面的工件，应采用什么车削方法?,single,宽刀法,双手控制法,靠模法,,,,B,,,车工,
176,当车削外圆时，图21中的b是车刀的什么刀面?,single,主后刀面,副后刀面,前刀面,,,,C,,,车工,fig_21
177,车外圆时，图21中的d是什么切削刃?,single,副切削刃,过渡刃,主切削刃,,,,C,,,车工,fig_21
178,外圆与孔的倒角，是为了____。,single,美观,便于装配,前两者兼有,操作者的习惯,,,C,,,车工,
179,车外圆时，如主轴转速增大，则进给量:,single,按比例变大,变小,不变,因皮带可能打滑，变与不变难确定,,,C,,,车工,
180,车床钻孔前，一般先车端面，主要目的是____。,single,减小钻头偏斜便于控制钻孔深度,降低钻削的表面粗糙度,为提高生产率,减小钻削力,,,A,,,车工,
181,钻孔的粗糙度Ra值，一般可达____。,single,Ra=0.4—0.2μm,Ra=1.6—0.8μm,Ra=25—12.5μm,,,,C,,,车工,
182,副后刀面是与工件上____相对的表面。,single,待加工表面,已加工表面,过渡表面,工件表面,,,B,,,车工,
183,车床镗孔的粗糙度Ra值，一般可达____。,single,Ra=12.5—1.6μm,Ra=0.4—0.2μm,Ra=25—12.5μm,,,,A,,,车工,
184,车削φ60mm的圆盘上的端面并镗削偏心孔，工件用什么附件装夹最好?,single,三爪卡盘,四爪卡盘,花盘,弯板,,,B,,,车工,
185,在车床和磨床上用双顶尖，卡箍和拨盘安装工件时，卡箍的作用是什么?,single,防止工件轴向窜动,为了圆周定位,带动工件旋转,,,,C,,,车工,
186,轴上某直径为φ45h6，长度为85mm，Ra=0.4μm的外圆，其加工顺序应为:,single,粗车—精车,粗车—半精车—磨,粗车—磨,,,,B,,,车工,
187,滚花后工件的尺寸应____滚花前的工件尺寸。,single,等于,小于,大于,,,,C,,,车工,
188,车床主轴中心部位的通孔，最主要的作用之一是____。,single,防止刀具碰伤主轴,为便于主轴的加工,为穿入细棒料，依次车削多个较小的工件,,,,C,,,车工,
189,背吃刀量是指工件的____表面之间的距离。,single,待加工与过渡（加工）,已加工与过渡,已加工与待加工,,,,C,,,车工,
190,中心架应安装在____上。,single,大滑板,尾座（架）,床身导轨,方刀架,,,B,,,车工,
191,车床可以加工的平面是____。,single,垂直面,斜面,主轴轴线的垂直面,水平面,,,C,,,车工,
192,车削轴径差较大的阶梯轴需用____。,single,尖刀,90°偏刀,弯刀,切断刀,,,B,,,车工,
193,刀具材料的硬度值（HRC）应达____。,single,30~40,40~50,50~60,>60,,,D,,,车工,
194,车床上，将电机的运动传至主轴箱（床头箱）的是____。,single,挂轮,光杠、丝杠,皮带,蜗杆、蜗轮,,,C,,,车工,
195,游标卡尺可测量工件的哪些基本尺寸?,multi,外径,孔的内径,宽度和深度,等分工件的角度,,,ABC,,,车工,
196,下列哪些表面可在车床上加工?,multi,回转成形面,内锥面,方孔,滚花的表面,,,ABD,,,车工,
197,几个外圆面的尺寸公差等级如下，问哪几个可以车削作为终加工?,multi,IT5,IT9,IT7,IT8,,,BCD,,,车工,
198,在车床上车端面时，一般可采用下列哪几种车刀?,multi,尖刀,镗刀,45°弯头刀,右偏刀,,,CD,,,车工,
199,在车床上采用自动走刀切断工件时，切削三要素中哪几个是不变的?,multi,切速不变,切深不变,进给量不变,,,,BC,,,车工,
200,如图14所示工件数量为10件，要求全部在车床上完成，加工时应用哪些附件装夹工件?,multi,四爪卡盘,三爪卡盘,心轴及双顶尖，卡箍，拨盘,花盘,,,BC,,,车工,fig_14
201,图16中零件的结构有哪些地方不合理?,multi,螺纹的直径不标准,螺纹端部无倒角,螺纹根部无退刀槽,,,,BC,,,车工,fig_16
202,图17中所示的刀具可以加工哪些表面?,multi,通孔,直角台肩孔,锥孔,斜台肩孔,,,ABC,,,车工,fig_17
203,图17中所示的刀具可对下列哪些孔作进一步加工?,multi,钻出的孔,铸出的孔,锻出的孔,铰出的孔,,,ABC,,,车工,fig_17
204,在用双顶尖装夹之前需进行下列哪些工作?,multi,铸造,划线,车端面,钻中心孔,,,CD,,,车工,
205,图19所示的齿轮毛坯为圆钢，共20件，除齿形外要求全部在车床上完成，保证全部技术要求，加工时应选用哪些附件装夹?,multi,三爪卡盘,四爪卡盘,心轴及双顶尖，卡箍，拨盘,花盘,,,AC,,,车工,fig_19
206,下列哪几种装夹方法，可在车削细长轴时使用?,multi,三爪卡盘,三爪卡盘+中心架,双顶尖+中心架,双顶尖+跟刀架,,,BCD,,,车工,
207,图20中工件为1000件，锥面可采用哪些车削方法?,multi,宽刀法,扳转小刀架法,偏移尾架法,靠模法,,,BCD,,,车工,fig_20
208,下列哪几个措施有利于保证车削零件的尺寸精度?,multi,准确度量,试切,一次装夹,准确地进刻度,,,ABC,,,车工,
209,机床的切削过程中，具有往复运动特点的机床有:,multi,车床,铣床,刨床,磨床,,,CD,,,车工,
210,安装工件时，可以保证较高同轴度的夹具有____。,multi,双顶尖,三爪,花盘、弯板,心轴,,,AD,,,车工,
211,主运动的特点是____。,multi,2个/机床,运动速度快,消耗功率小,1个/机床,运动速度慢,消耗功率大,DF,,,车工,
212,车削的切削速度高低的影响因素是____。,multi,背吃刀量,工件直径,工件转速,进给量,,,BC,,,车工,
213,程序编制的两种方法是手工编程和自动编程。,judge,正确,错误,,,,,对,,,数控车,
214,在标准中，平行于机床主轴的刀具运动坐标轴为X轴，取刀具远离工件的方向为正方向。,judge,正确,错误,,,,,错,,,数控车,
215,数控机床采用滚珠丝杠，可通过软件补偿消除间隙。,judge,正确,错误,,,,,对,,,数控车,
216,数控车床可以实现双轴（X和Z轴）联动。,judge,正确,错误,,,,,对,,,数控车,
217,G00代码为模态码，即其他同组G代码出现前均有效。,judge,正确,错误,,,,,对,,,数控车,
218,数控车床的机械原点一般设定在各坐标轴的正向极限位置。,judge,正确,错误,,,,,对,,,数控车,
